id,serial_no,name,nirf_rank,founded,address,city,state,latitude,longitude,has_coordinates,source,doctor_info_available,score,notes
nirf-med-022,22,"All India Institute of Medical Sciences, Rishikesh",22,2012,"Virbhadra Road, Rishikesh – 249203, Uttarakhand, India.",Rishikesh,Uttarakhand,30.0789,78.286,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-023,23,Institute of Liver and Biliary Sciences,23,2009,"D-1, Vasant Kunj Road, Ghitorni, New Delhi – 110070, Delhi, India.",New Delhi,Delhi,28.5063,77.1651,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-024,24,Institute of Post Graduate Medical Education & Research,24,1957,"244, Acharya J. C. Bose Road, Bhowanipore, Kolkata – 700020, West Bengal, India",Kolkata,West Bengal,22.5397,88.3419,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-025,25,Datta Meghe Institute of Higher Education and Research,25,2005,"Sawangi (Meghe), Wardha – 442107, Maharashtra, India.",Wardha,Maharashtra,20.7146,78.5761,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-026,26,Kalinga Institute of Industrial Technology,26,1992,"Patia, Bhubaneswar, Odisha – 751024, India.",Bhubaneswar,Odisha,20.3553,85.8163,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-027,27,"All India Institute of Medical Sciences, Patna",27,2012,"Phulwari Sharif, Patna — 801507, Bihar, India.",Patna,Bihar,25.5612,85.0416,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-028,28,Aligarh Muslim University,28,1875,"AMU Campus, Aligarh — 202002, Uttar Pradesh, India.",Aligarh,Uttar Pradesh,27.8938,78.0681,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-029,29,Jamia Hamdard,29,1989,"Hamdard Nagar, New Delhi — 110062, India.",New Delhi,Delhi,28.5145,77.2498,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-030,30,"Kasturba Medical College, Mangalore",30,1955,"Light House Hill Road, Mangaluru — 575001, Karnataka, India.",Mangalore,Karnataka,12.87,74.84,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-031,31,Lady Hardinge Medical College,31,1916,"Shaheed Bhagat Singh Marg, Connaught Place, New Delhi — 110001.",New Delhi,Delhi,28.6351,77.2125,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-032,32,Maulana Azad Medical College,32,1958,"LNJP Colony / Bahadur Shah Zafar Marg area, New Delhi — 110002.",Delhi,Delhi,28.637,77.237,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-033,33,Govt. Medical College & Hospital,33,1951,"Medical College Campus, Ulloor Road, Thiruvananthapuram — 695011, Kerala.",Thiruvananthapuram,Kerala,8.5225,76.9301,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-034,34,Maharishi Markandeshwar,34,1993,"Mullana (Mullana University Road), Ambala District, Haryana — 133207.",Ambala,Haryana,30.2763,77.0473,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-035,35,Dayanand Medical College,35,1964,"Civil Lines / Tagore Nagar, Ludhiana — Punjab (postal: 141001)",Ludhiana,Punjab,30.9155,75.8231,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-036,36,University College of Medical Sciences,36,1971,"GTB Hospital, Dilshad Garden / Tahirpur Road, New Delhi — 110095.",Delhi,Delhi,28.67,77.29,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-037,37,"JSS Medical College, Mysore",37,1984,"JSS Academy campus, Sri Shivarathreeshwara Nagara, Mysuru — 570015, Karnataka.",Mysore,Karnataka,12.3444,76.6527,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-038,38,All India Institute of Medical Sciences Bhopal,38,2012,"Saket Nagar / Habib Ganj area, Bhopal — 462020, Madhya Pradesh.",Bhopal,Madhya Pradesh,23.24,77.4,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-039,39,All India Institute of Medical Sciences Raipur,39,2012,"Tatibandh Road / AIIMS campus, Raipur — Chhattisgarh, 492099.",Raipur,Chhattisgarh,21.2564,81.5782,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-040,40,PSG Institute of Medical Sciences & Research,40,1985,"Off Avanashi Road, Peelamedu, Coimbatore — 641004, Tamil Nadu.",Coimbatore,Tamil Nadu,11.0207,77.0091,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-041,41,Gujarat Cancer & Research Institute,41,1972,"Civil Hospital Campus, Asarwa, Ahmedabad — 380016, Gujarat.",Ahmadabad,Gujarat,23.03,72.58,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-042,42,"Christian Medical College, Brown Road, Ludhiana",42,1894,"Brown Road, Ludhiana — 141008, Punjab.",Ludhiana,Punjab,30.9094,75.8634,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-043,43,M. S. Ramaiah Medical College,43,1984,"M S Ramaiah Nagar / New BEL Road, Mathikere, Bengaluru — 560054, Karnataka.",Bengaluru,Karnataka,13.01,77.56,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-044,44,Government Medical College Thiruvananthapuram,44,1951,"Medical College Campus, Ulloor Road, Thiruvananthapuram – 695011, Kerala, India.",Thiruvananthapuram,Kerala,8.522,76.925,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-045,45,Medical College,45,1835,"88, College St, College Square, Kolkata 700001, West Bengal, India.",Kolkata,West Bengal,22.5722,88.3614,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-046,46,Sawai Man Singh Medical College,46,1947,"SMS Hospital campus, J.L.N. Marg / Ashok Nagar, Jaipur — 302004, Rajasthan.",Jaipur,Rajasthan,26.8921,75.8508,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-047,47,Mahatma Gandhi Medical College and Research Institute,47,2001,"SBV Campus, Pillayarkuppam (Bahour), Puducherry — 607402.",Puducherry,Puducherry,11.88,79.81,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-048,48,Chettinad Academy of Research and Education,48,2005,"Chettinad Health City, Rajiv Gandhi Salai (OMR), Kelambakkam, Chengalpattu Dist., Tamil Nadu — 603103.",Kelambakkam,Tamil Nadu,12.796,80.217,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-049,49,"Pt. B.D.Sharma, PGIMS",49,1960,"PGIMS Campus, Rohtak, Haryana.",Rohtak,Haryana,28.8795,76.6053,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-050,50,B. J. Medical College,50,1871,"B. J. Medical College, Civil Hospital Campus, Asarwa, Ahmedabad — 380016, Gujarat.",Ahmadabad,Gujarat,23.03,72.58,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
